,Playlist Name,Description,Tracks,Followers,URL
1,Today's Top Hits,Dua Lipa & Elton John are on top of the Hottest 50!,50,29956585,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2,RapCaviar,"New music from Juice WRLD, Polo G and DaBaby. ",50,14184039,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd
3,Hot Country,"Today's top country hits of the week, worldwide! Cover: Luke Combs",54,6552911,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda
4,Viva Latino,"Today's top Latin hits, elevando nuestra música. Cover: KAROL G",51,11390876,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva
5,New Music Friday,"New music from Taylor Swift, Silk Sonic, Juice WRLD, Beyoncé, and more! ",100,3836367,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk
6,Peaceful Piano,Relax and indulge with beautiful piano pieces,424,6362031,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO
7,Are & Be,The pulse of R&B music today.  Cover: Silk Sonic,50,5768993,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd
8,Rock Classics,"Legendary album ""Led Zeppelin IV"" is celebrating its 50th anniversary.",166,9640464,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U
9,mint,"The world's biggest dance hits. Featuring new music from Chris Lake & NPC, Doss, Vintage Culture & James Hype and more!",94,5869088,https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n
10,Rock This,"The newest music from Avril Lavigne, along with the top Rock songs you need to know.",50,4586627,https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv
11,New Music Friday,The very best in new music from around the world. Cover: Bruno Mars & Anderson .Paak as Silk Sonic,97,290745,https://open.spotify.com/playlist/37i9dQZF1DWXJfnUiYjUKT
12,just hits,Current favorites and exciting new music. Cover: Adele,99,2251042,https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp
13,All Out 2000s,The biggest songs of the 2000s. Cover: Amy Winehouse.,150,9658491,https://open.spotify.com/playlist/37i9dQZF1DX4o1oenSJRJd
14,All Out 90s,The biggest songs of the 1990s.,150,6949295,https://open.spotify.com/playlist/37i9dQZF1DXbTxeAdrVG2l
15,All Out 80s,The biggest songs of the 1980s.,150,9018273,https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe
16,All Out 70s,The biggest songs of the 1970s. Cover: ABBA.,150,4487010,https://open.spotify.com/playlist/37i9dQZF1DWTJ7xPn4vNaz
17,All Out 60s,The biggest songs of the 1960s.,150,2552713,https://open.spotify.com/playlist/37i9dQZF1DXaKIA8E7WcJj
18,All Out 50s,The biggest songs of the 1950s.,150,1436417,https://open.spotify.com/playlist/37i9dQZF1DWSV3Tk4GO2fq
19,Soft Pop Hits,Listen to easy songs from your favorite artists! Cover: John Legend,100,5646034,https://open.spotify.com/playlist/37i9dQZF1DWTwnEm1IYyoj
20,Signed XOXO,Crossing over like Allen I. Cover: Summer Walker,101,1866136,https://open.spotify.com/playlist/37i9dQZF1DX2A29LI7xHn1
21,Most Necessary,The official voice of generation next. Cover: 22Gz,101,2567941,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ
22,Gold School,Taking it back. Cover: Foxy Brown,50,2400236,https://open.spotify.com/playlist/37i9dQZF1DWVA1Gq4XHa6U
23,Get Turnt,Mode: Turnt,100,6101126,https://open.spotify.com/playlist/37i9dQZF1DWY4xHQp97fN6
24,B.A.E.,Hip-Hop + R&B: Before. Anything. Else. Cover: Don Toliver,51,1863776,https://open.spotify.com/playlist/37i9dQZF1DWX3387IZmjNa
25,African Heat,"The tracks heating up the continent right now! Cover: <a href=""https://open.spotify.com/artist/3bxZkzk0PLHcetO9o4oxXn?si=AfcWUwUvQfCf8JPKuwYw0A""> Reekado Banks </a> ",50,837266,https://open.spotify.com/playlist/37i9dQZF1DWYkaDif7Ztbp
26,Mind Right,The Real hip-hop. Cover: Westside Gunn,50,1054557,https://open.spotify.com/playlist/37i9dQZF1DX5hR0J49CmXC
27,Dancehall Official,The best in new & current Dancehall. Cover: Koffee,75,938644,https://open.spotify.com/playlist/37i9dQZF1DXan38dNVDdl4
28,Westside Story,Holdin' it down for the westside. Cover: Aminé,50,675818,https://open.spotify.com/playlist/37i9dQZF1DWSvKsRPPnv5o
29,Power Workout,For whatever activity you do that may need a punch of intensity!,50,3817155,https://open.spotify.com/playlist/37i9dQZF1DWUVpAXiEPK8P
30,No Cap,The hottest out the south. Cover: Gunna,52,1001976,https://open.spotify.com/playlist/37i9dQZF1DX0Tkc6ltcBfU
31,State of Mind,Up and down I-95. Cover: French Montana,50,391578,https://open.spotify.com/playlist/37i9dQZF1DX1YPTAhwehsC
32,Alternative Hip-Hop,"New, leftfield and for the real hip-hop stans! Cover: Bktherula",50,779388,https://open.spotify.com/playlist/37i9dQZF1DWTggY0yqBxES
33,Workout Twerkout,Get your body right with this workout twerkout,50,1725353,https://open.spotify.com/playlist/37i9dQZF1DX0HRj9P7NxeE
34,We Everywhere,"Afro sounds crossing borders. Top Afro Bashment, Pop, Fusion / X-Overs from all across the world.  Cover: <a href=""spotify:artist:3tVQdUvClmAT7URs9V3rsp"">WizKid</a>",100,482268,https://open.spotify.com/playlist/37i9dQZF1DWT6SJaitNDax
35,Black History Salute,Saluting the songs and artists that have filled us with pride.,26,262979,https://open.spotify.com/playlist/37i9dQZF1DX2r0FByV5U4C
36,Behind The Lyrics: Hip Hop,"Watch your screen as you listen to see lyrics, fun facts, and artist stories from Genius! (on mobile only)",50,48165,https://open.spotify.com/playlist/37i9dQZF1DXaKctwWdt4be
37,New Noise,Here's your cheat sheet for everything new in the rock/alt world. Cover: Liily,150,374151,https://open.spotify.com/playlist/37i9dQZF1DWT2jS7NwYPVI
38,The New Alt,No rules. No boundaries. Just cool music you need to hear. / Cover & Takeover by UPSAHL,118,1046068,https://open.spotify.com/playlist/37i9dQZF1DX82GYcclJ3Ug
39,Rock Solid,New classics and essential cuts from all your favorite rock bands. Cover: Rage Against The Machine,80,1273660,https://open.spotify.com/playlist/37i9dQZF1DX49jUV2NfGku
40,Rock This: Best of 2017,A look back at some of the most impactful songs of 2017.,100,58475,https://open.spotify.com/playlist/37i9dQZF1DX1Jg9KZ76Rr9
41,Rock Party,The ultimate rock party playlist!,145,1970275,https://open.spotify.com/playlist/37i9dQZF1DX8FwnYE6PRvL
42,You & Me,It's just us - and this awesome alt soundtrack.,100,763386,https://open.spotify.com/playlist/37i9dQZF1DX6mvEU1S6INL
43,It's ALT Good!,ALT the Good Vibes.,100,632569,https://open.spotify.com/playlist/37i9dQZF1DX2SK4ytI2KAZ
44,The Scene,"Call it pop-punk, emo, post-hardcore, whatever you want. We call it all awesome. Cover: Waterparks",150,407778,https://open.spotify.com/playlist/37i9dQZF1DWZkHEX2YHpDV
45,Rock Hard,For those who like the newest songs loud. Very loud. Cover: Bad Wolves,150,796923,https://open.spotify.com/playlist/37i9dQZF1DWWJOmJ7nRx0C
46,This Is Ryan Adams,"The essential Ryan Adams, all in one place.",57,36464,https://open.spotify.com/playlist/37i9dQZF1DXdXKIWnpyigm
47,This Is The Black Keys,One of the most iconic bands of recent time. Here is the best of The Black Keys.,52,219121,https://open.spotify.com/playlist/37i9dQZF1DX2rBR3X9E86S
48,This Is Tom Petty,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",78,285691,https://open.spotify.com/playlist/37i9dQZF1DWUlZhYdX0uqM
49,This Is Nirvana,"The best of Nirvana, all in one place.",45,1036251,https://open.spotify.com/playlist/37i9dQZF1DX82CY3GzF2m6
50,This Is Ramones,"The essential Ramones, all in one playlist.",34,174348,https://open.spotify.com/playlist/37i9dQZF1DWWc7UGhP4Mpw
51,This Is Green Day,"Welcome to Paradise, Green Day fans!",50,829018,https://open.spotify.com/playlist/37i9dQZF1DWVPJN9etkrEa
52,This Is Metallica,"The best of Metallica, all in one playlist.",60,1453859,https://open.spotify.com/playlist/37i9dQZF1DXbj9Ksq4BAdj
53,This Is Jane's Addiction,Jane says these are the essentials.,40,26742,https://open.spotify.com/playlist/37i9dQZF1DXcGV9sg8bMdx
54,This Is Oasis,"The best of Oasis, all in one playlist.",50,771033,https://open.spotify.com/playlist/37i9dQZF1DWXupFIUw7TOC
55,This Is KISS,"The essential KISS, all in one place.",50,310814,https://open.spotify.com/playlist/37i9dQZF1DX5L9gRaHajqj
